"objects","ports","Emag","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16.697,0,0.062322,1,0.013957,-0.11617,0.071488,0.16046
16.697,0,0.062322,1,0.014025,-0.11624,0.071485,0.16046
16.697,0,0.062322,1,0.014093,-0.1163,0.071483,0.16045
16.697,0,0.062322,1,0.014161,-0.11637,0.07148,0.16045
16.697,0,0.062322,1,0.014229,-0.11644,0.071478,0.16045
16.697,0,0.062322,1,0.014297,-0.11651,0.071475,0.16045
16.697,0,0.062322,1,0.014365,-0.11658,0.071473,0.16045
16.697,0,0.062322,1,0.014433,-0.11664,0.07147,0.16045
16.697,0,0.062322,1,0.014501,-0.11671,0.071468,0.16044
16.697,0,0.062322,1,0.014569,-0.11678,0.071465,0.16044
16.697,0,0.062322,1,0.014637,-0.11685,0.071463,0.16044
16.697,0,0.062322,1,0.014705,-0.11692,0.07146,0.16044
16.697,0,0.062322,1,0.014774,-0.11698,0.071457,0.16044
16.697,0,0.062322,1,0.014842,-0.11705,0.071455,0.16044
16.697,0,0.062322,1,0.01491,-0.11712,0.071452,0.16043
16.697,0,0.062322,1,0.014978,-0.11719,0.07145,0.16043
16.697,0,0.062322,1,0.015046,-0.11726,0.071447,0.16043
16.697,0,0.062322,1,0.015114,-0.11732,0.071445,0.16043
16.697,0,0.062322,1,0.015182,-0.11739,0.071442,0.16043
16.697,0,0.062322,1,0.01525,-0.11746,0.07144,0.16043
16.697,0,0.062322,1,0.015318,-0.11753,0.071437,0.16042
16.697,0,0.062322,1,0.015386,-0.1176,0.071435,0.16042
16.697,0,0.062322,1,0.015454,-0.11766,0.071432,0.16042
16.697,0,0.062322,1,0.015522,-0.11773,0.07143,0.16042
16.697,0,0.062322,1,0.01559,-0.1178,0.071427,0.16042
16.697,0,0.062322,1,0.015659,-0.11787,0.071424,0.16042
16.697,0,0.062322,1,0.015727,-0.11794,0.071422,0.16041
16.697,0,0.061772,1,0.015795,-0.118,0.071419,0.16041
16.697,0,0.061772,1,0.015863,-0.11807,0.071417,0.16041
16.697,0,0.061772,1,0.015931,-0.11814,0.071414,0.16041
16.697,0,0.061772,1,0.015999,-0.11821,0.071412,0.16041
16.697,0,0.061772,1,0.016067,-0.11828,0.071409,0.16041
16.697,0,0.061772,1,0.016135,-0.11834,0.071407,0.16041
16.697,0,0.061772,1,0.016203,-0.11841,0.071404,0.1604
16.697,0,0.061772,1,0.016271,-0.11848,0.071402,0.1604
16.697,0,0.061772,1,0.016339,-0.11855,0.071399,0.1604
16.697,0,0.061772,1,0.016407,-0.11862,0.071396,0.1604
16.697,0,0.061772,1,0.016476,-0.11868,0.071394,0.1604
16.697,0,0.061772,1,0.016544,-0.11875,0.071391,0.1604
16.697,0,0.061772,1,0.016612,-0.11882,0.071389,0.16039
16.697,0,0.061772,1,0.01668,-0.11889,0.071386,0.16039
16.697,0,0.061772,1,0.016748,-0.11896,0.071384,0.16039
16.697,0,0.061772,1,0.016816,-0.11902,0.071381,0.16039
16.697,0,0.061772,1,0.016884,-0.11909,0.071379,0.16039
16.697,0,0.061772,1,0.016952,-0.11916,0.071376,0.16039
